GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
maven-doglib,com.doglib,Dog,36,37,0,0,3,14,1,6,1,6
maven-doglib,com.doglib,DogLib,18,317,2,26,3,65,2,20,0,8
